trial_id,stack_mb,heap_mb,global_mb,mpi_strategy,value
0,8000,100,8000,MPI-PR,131.1
1,4000,350,30000,MPI-PR,831.0
2,6500,150,10000,MPI-PR,55.3
3,14500,400,10000,MPI-PR,118.7
4,11000,350,24000,MPI-PR,56.6
5,4000,400,31000,ARMCI-MPI,87.0
6,6500,200,7000,MPI-PR,87.1
7,16000,250,26000,MPI-TS,62.2
8,12500,100,4000,MPI-TS,54.0
9,8000,250,17000,ARMCI-MPI,76.4
10,5500,350,22000,MPI-TS,208.1
11,9500,150,30000,ARMCI-MPI,192.3
12,9000,400,19000,ARMCI-MPI,5.2
13,8000,250,19000,MPI-PR,86.9
14,15000,100,20000,MPI-TS,214.9
15,14500,400,32000,MPI-TS,614.0
16,7000,100,9000,MPI-TS,83.8
17,7000,200,23000,MPI-PR,197.3
18,6500,200,27000,MPI-TS,87.2
19,8500,150,18000,MPI-PR,1000.0
20,8500,250,8000,ARMCI-MPI,83.5
